"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-146 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","60.3","0.84","","17.9","","5.6","","","6.3","2.54","0.07","","1.24","4.7","0.22","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","180","19","","","14","8","","","","","","","","20","825","11","100","3","","","","","","","","","","","","","595","16.5","35.5","","21","4.05","1.1","3.4","","2.15","","1","","0.86","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","100559",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-145 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","60.5","0.83","","17.75","","5.6","","","6.1","2.49","0.07","","1.3","4.62","0.22","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","178","20","","","12.5","7.5","","","","","","","","21","800","9.5","105","3","","","","","","","","","","","","","620","14","31","","17.5","3.5","1.02","3","","1.85","","0.85","","0.77","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","100560",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-140 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","71","0.25","","15.55","","1.93","","","3.04","0.45","0.03","","2.03","4.8","0.09","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","31","4","","","3","2","","","","","","","","49.5","545","5.2","58","3.1","","","","","","","","","","","","","1040","13.5","26.5","","12.5","2.3","0.61","1.7","","1","","0.45","","0.4","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","100561",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-100 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","71","0.27","","15.85","","1.9","","","2.84","0.18","0.02","","1.95","4.83","0.09","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","28","5","","","2.5","2.5","","","","","","","","44","535","4.9","70","3.1","","","","","","","","","","","","","1050","13.5","26.5","","12","2","0.6","1.7","","0.9","","0.4","","0.38","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","100562",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-109 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","71.7","0.26","","15.6","","1.83","","","3.06","0.33","0.02","","1.98","4.87","0.09","","","","","","","","","","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","33","4","","","3","2.5","","","","","","","","46","545","4.7","72","3","","","","","","","","","","","","","1000","14","28","","13","2.3","0.62","1.85","","0.95","","0.4","","0.37","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","100563",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","CENTRAL MINDANAO","7","9","124","126","SAE","","","s_KL143C [4096]","ADAKITE [4096]","","","","","","","","","VOL","","","","","WR [4096] ","64.75","0.39","","16.8","","","","3.54","4.6","2.24","0.08","","1.71","4.28","0.17","","","","","","","","","","","","","","","","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","72","36","","","13","27","","","","","","","","43.6","565","10.3","50","3.8","","","","","","","","","","","","","327","10.3","22","","10","","0.65","","","1.7","","1.1","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103995",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","DAGUMA-SARANGANI","5.6","7.2","124","126","SAE","","","s_PH92-105 [4096]","ADAKITE [4096]","","","","","","","","","VOL","","","","","WR [4096] ","63.25","0.51","","17.15","","","","4.17","5","2.19","0.08","","1.36","4.7","0.19","","","","","","","","","","","","","","","","1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","104","8","","","11","11","","","","","","","","33.5","687","8.1","66","1.6","","","","","","","","","","","","","274","6.5","17","","8.5","","0.65","","","1.4","","0.7","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103998",
"[19747]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","SAKUGI CAULDRON","34.8747","34.8747","132.6692","132.6692","SAE","","","s_SK-033 [19747]","ADAKITE [19747]","","","","","","","","","VOL","","","","","WR [19747] ","52.43","0.77","","17.85","","","","6.67","9.09","4.81","0.14","","2.11","2.87","0.37","","","","","","","","","","","","","","","","2.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","25","","","23","11","","47","18","1.4","","","","40","2150","16.7","153","3.6","","","","","","","","","","","","1.3","506","46","113","14","55.9","9.62","2.46","6.22","0.69","3.56","0.59","1.69","0.207","1.43","0.179","4","0.15","","","","","","","","","8.2","","8.12","1.7","0.512876","","","0.70373","","","","","","","","","","","","","","","","","","","","","1042405",
"[19747]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","MASUDA SOUTH CAULDRON","34.6597","34.6597","131.9183","131.9183","SAE","","","s_121403 [19747]","ADAKITE [19747]","","","","","","","","","VOL","","","","","WR [19747] ","52.67","0.78","","17.64","","","","6.86","7.51","5.23","0.17","","2.4","2.69","0.45","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221","20","","","24","7.8","","29","19","1.2","","","","61","1410","16.1","176","2.8","","","","","","","","","","","","11.9","617","46.6","114","14.1","56.1","9.71","2.47","6.09","0.68","3.5","0.57","1.67","0.203","1.41","0.175","4.4","0.14","","","","","","","","","12","","8.48","1.79","0.512873","","","0.704557","","","","","","","","","","","","","","","","","","","","","1042406",
"[19747]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","MASUDA SOUTH CAULDRON","34.6747","34.6747","131.9069","131.9069","SAE","","","s_1307 [19747]","ADAKITE [19747]","","","","","","","","","VOL","","","","","WR [19747] ","53.27","0.76","","17.48","","","","6.51","8.7","4.53","0.14","","2.17","3.07","0.41","","","","","","","","","","","","","","","","2.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211","26","","","23","9.3","","47","17","1.3","","","","45","1720","16.7","152","2.9","","","","","","","","","","","","1.7","510","46.6","110","13.6","53.8","9.31","2.35","6.06","0.7","3.51","0.61","1.73","0.214","1.47","0.189","3.9","0.15","","","","","","","","","11","","7.83","1.64","","","","","","","","","","","","","","","","","","","","","","","","","1042407",
"[19747]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","MASUDA SOUTH CAULDRON","34.6703","34.6703","131.9019","131.9019","SAE","","","s_52602 [19747]","ADAKITE [19747]","","","","","","","","","VOL","","","","","WR [19747] ","53.74","0.75","","17.61","","","","6.29","9.36","4.69","0.14","","1.69","1.9","0.36","","","","","","","","","","","","","","","","1.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249","23","","","22","11","","40","18","1.3","","","","35","2540","14.8","143","2.3","","","","","","","","","","","","8.5","385","38.3","93.5","11.7","46","7.76","2.05","5.07","0.6","3.04","0.54","1.53","0.2","1.34","0.164","3.7","0.13","","","","","","","","","6.4","","5.88","1.33","","","","","","","","","","","","","","","","","","","","","","","","","1042408",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SAE","","","s_TVK46 [19258]","ADAKITE [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","APHANITIC TO MICROCRYSTALLINE [19258] ","VOL","","","","","WR [19258] ","71.63","0.25","","14.82","","","","2.65","2.57","1.26","0.04","","2.21","4.21","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","","1.84","60.4","","","","40.5","0.5","16","19","","","","","53","124","7.63","154","6.2","","","","","","","","","","","","1.15","336","22.31","33.42","3.67","13.16","2.3","0.72","1.86","0.26","1.12","0.2","0.59","0.09","0.53","0.0759","3.6624","0.53","","","","","","","","","4.1","","4.05","1.87","","","","","","","","","","","","","","","","","","0.281318","","","","","","","107389-TVK46",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SAE","","","s_TVK47 [19258]","ADAKITE [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","APHANITIC TO MICROCRYSTALLINE [19258] ","VOL","","","","","WR [19258] ","72.93","0.19","","14.41","","","","2.35","2.9","0.58","0.03","","1.82","4.48","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","","0.71","16.6","","","","21.1","0.5","11","18","","","","","45","81","5.35","160","6.04","","","","","","","","","","","","0.44","310","16.37","21.83","2.8","9.95","1.7","0.58","1.41","0.2","0.81","0.15","0.41","0.06","0.4","0.0629","3.7116","0.47","","","","","","","","","4.2","","3.53","1.3","","","","","","","","","","","","","","","","","","0.281323","","","","","","","107389-TVK47",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SAE","","","s_TVK78 [19258]","ADAKITE [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","APHANITIC TO MICROCRYSTALLINE [19258] ","VOL","","","","","WR [19258] ","73.58","0.17","","14.04","","","","1.77","2.14","0.79","0.03","","2.81","4.41","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02","","1.11","24.3","","","","25.2","1","13","17","","","","","58","122","5.77","157","6.49","","","","","","","","","","","","1.05","353","19.34","34.6","3.29","11.38","2.04","0.68","1.6","0.22","0.87","0.16","0.47","0.07","0.42","0.0608","3.6662","0.84","","","","","","","","","5.1","","4.75","1.84","","","","","","","","","","","","","","","","","","0.281314","","","","","","","107389-TVK78",
"[5369]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / ARGENTINA / VIEDMA","","-49","-49","-73","-73","SAE","","","s_VIEDMA [5369]","ADAKITE [5369]","","","","","","","","","VOL","","","","","WR [5369] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.61","1.52","","","","0.70511","","","","","","","","","","","","","","","","","","","","","121374",
"[5369]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / AGUILERA","","-50","-50","-70","-70","SAE","","","s_AGUILERA [5369]","ADAKITE [5369]","","","","","","","","","VOL","","","","","WR [5369] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2.45","","","","0.70493","","","","","","","","","","","","","","","","","","","","","121375",
"[5369]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / RECLUS","","-51","-51","-73","-73","SAE","","","s_RECLUS [5369]","ADAKITE [5369]","","","","","","","","","VOL","","","","","WR [5369] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.01","0.759","","","","0.70504","","","","","","","","","","","","","","","","","","","","","121376",
"[5369]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / MOUNT BURNEY","","-52.33","-52.33","-73.47","-73.47","SAE","","","s_BURNEY131289-1 [5369]","ADAKITE [5369]","","","","","","","","","VOL","","","","","WR [5369] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23","0.363","","","","0.70427","","","","","","","","","","","","","","","","","","","","","121377",
"[5369]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / MOUNT BURNEY","","-52.33","-52.33","-73.47","-73.47","SAE","","","s_BURNEY131285-4 [5369]","ADAKITE [5369]","","","","","","","","","VOL","","","","","WR [5369] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95","0.263","","","","0.70414","","","","","","","","","","","","","","","","","","","","","121378",
"[5369]","CONVERGENT MARGIN","ANDEAN ARC / AUSTRAL VOLCANIC ZONE / CHILE / MOUNT BURNEY","","-52.33","-52.33","-73.47","-73.47","SAE","","","s_BURNEY180290-2 [5369]","ADAKITE [5369]","","","","","","","","","VOL","","","","","WR [5369] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","0.304","","","","","","","","","","","","","","","","","","","","","","","","","121379",
